Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Medium,restaurant type,Order Time,Meal,Perference,Ease and convenient,avg cost (two people),order_hour_of_day,days_since_prior_order,Cities
20,Female,Single,Student,No Income,Post Graduate,4,Swiggy,Quick Bites,Weekend (Sat & Sun),Breakfast,Non Veg foods (Lunch / Dinner),Neutral,200,8,4,Tier 3
24,Female,Single,,Below Rs.10000,Graduate,3,Swiggy,Quick Bites,Anytime (Mon-Sun),Snacks,Non Veg foods (Lunch / Dinner),Strongly agree,400,10,30,Tier 1
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,Zomato,Cafe,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,400,8,29,Tier 2
,Female,Single,Student,No Income,Graduate,6,Swiggy,Casual Dining,Anytime (Mon-Sun),Snacks,Veg foods (Breakfast / Lunch / Dinner),Agree,550,15,8,Tier 1
,Male,Single,Student,Below Rs.10000,Post Graduate,4,Zomato,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Agree,700,18,8,
27,Female,Married,Employee,More than 50000,Post Graduate,2,ONDC,Takeaway,Anytime (Mon-Sun),,Non Veg foods (Lunch / Dinner),Agree,200,20,17,Tier 2
22,Male,Single,Student,No Income,Graduate,3,Zomato,Casual Dining,Anytime (Mon-Sun),Lunch,Non Veg foods (Lunch / Dinner),Strongly agree,700,17,10,Tier 1
24,Female,Single,Student,No Income,Post Graduate,3,Swiggy,Takeaway,Weekend (Sat & Sun),Dinner,Non Veg foods (Lunch / Dinner),Strongly agree,300,15,10,Tier 3
23,Female,Single,Student,No Income,Post Graduate,2,Swiggy,Quick Bites,Anytime (Mon-Sun),Dinner,Non Veg foods (Lunch / Dinner),Agree,300,10,30,Tier 1
23,Female,Single,Student,No Income,Post Graduate,4,Zomato,Casual Dining,Weekend (Sat & Sun),Lunch,Non Veg foods (Lunch / Dinner),Neutral,450,19,,Tier 2
