"Age","Gender","Marital_Status","Occupation","Monthly_Income","Education","Family_Size","Medium","Restaurant_Type","Order_Time","Meal","Preference","Ease_Convenient","Avg_Cost","Order_Hour","Days_Since_Prior","Cities","Income_Level","Time_Period","Cost_Category","Order_Frequency","City_Tier","High_Demand_Area"
20,"Female","Single","Student","No Income","Post Graduate",4,"Swiggy","Quick Bites","Weekend (Sat & Sun)","Breakfast","Non Veg foods (Lunch / Dinner)","Neutral",200,8,4,"Tier 3",1,"Morning","Low","Very_Frequent",3,"0"
24,"Female","Single","Student","Below Rs.10000","Graduate",3,"Swiggy","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Strongly agree",400,10,30,"Tier 1",2,"Morning","Medium","Infrequent",1,"1"
22,"Male","Single","Student","Below Rs.10000","Post Graduate",3,"Zomato","Cafe","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",400,8,29,"Tier 2",2,"Morning","Medium","Infrequent",2,"1"
27,"Female","Single","Student","No Income","Graduate",6,"Swiggy","Casual Dining","Anytime (MonSun)","Snacks","Veg foods (Breakfast / Lunch / Dinner)","Agree",550,15,8,"Tier 1",1,"Afternoon","High","Frequent",1,"1"
27,"Male","Single","Student","Below Rs.10000","Post Graduate",4,"Zomato","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Agree",700,18,8,"Tier 1",2,"Evening","Premium","Frequent",1,"1"
27,"Female","Married","Employee","More than 50000","Post Graduate",2,"ONDC","Takeaway","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",200,20,17,"Tier 2",5,"Evening","Low","Moderate",2,"0"
22,"Male","Single","Student","No Income","Graduate",3,"Zomato","Casual Dining","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",700,17,10,"Tier 1",1,"Evening","Premium","Frequent",1,"1"
24,"Female","Single","Student","No Income","Post Graduate",3,"Swiggy","Takeaway","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Strongly agree",300,15,10,"Tier 3",1,"Afternoon","Low","Frequent",3,"0"
23,"Female","Single","Student","No Income","Post Graduate",2,"Swiggy","Quick Bites","Anytime (MonSun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",300,10,30,"Tier 1",1,"Morning","Low","Infrequent",1,"0"
23,"Female","Single","Student","No Income","Post Graduate",4,"Zomato","Casual Dining","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Neutral",450,19,16,"Tier 2",1,"Evening","High","Moderate",2,"1"
22,"Female","Single","Student","No Income","Post Graduate",5,"Zomato","Quick Bites","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",300,15,30,"Tier 1",1,"Afternoon","Low","Infrequent",1,"0"
23,"Male","Single","Student","Below Rs.10000","Post Graduate",2,"Zomato","Bar","Weekend (Sat & Sun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",1500,10,30,"Tier 2",2,"Morning","Premium","Infrequent",2,"1"
23,"Male","Single","Student","No Income","Post Graduate",5,"ONDC","Fine Dining","Weekend (Sat & Sun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",2000,12,2,"Tier 2",1,"Afternoon","Premium","Very_Frequent",2,"1"
21,"Male","Single","Student","No Income","Graduate",4,"Zomato","Casual Dining","Weekend (Sat & Sun)","Dinner","Non Veg foods (Lunch / Dinner)","Agree",800,17,18,"Tier 1",1,"Evening","Premium","Moderate",1,"1"
23,"Female","Single","Self Employeed","10001 to 25000","Post Graduate",4,"Swiggy","Bar","Anytime (MonSun)","Snacks","Non Veg foods (Lunch / Dinner)","Agree",1400,19,6,"Tier 1",3,"Evening","Premium","Frequent",1,"1"
24,"Female","Single","Student","No Income","Post Graduate",6,"Swiggy","Cafe","Anytime (MonSun)","Lunch","Non Veg foods (Lunch / Dinner)","Strongly agree",900,15,30,"Tier 1",1,"Afternoon","Premium","Infrequent",1,"1"
